stock_code,company_name,industry,address,market_type,market_cap_recent
A002790,아모레퍼시픽홀딩스,N30302.개인용품,(04386) 서울시 용산구 한강대로 100,코스피,2177154132000
A002800,신신제약,N35202.제약,(30002) 세종시 소정면 소정산단동로 9,코스닥,80100240000
A002810,삼영무역,N20107.무역회사와 판매업체,(04033) 서울시 마포구 양화로 111,코스피,288269058280
A002820,SUN&L,N15105.종이와 임산물,(22300) 인천시 중구 월미로 96,코스피,30889573050
A002840,미원상사,N15101.화학,(15610) 경기 안산시 단원구 원시로 49,코스피,693975000000
A002870,신풍,N25501.판매업체,"(06028) 서울시 강남구 압구정로 104, 501호 (신사동,보암빌딩)",코스피,41775646500
A002880,대유에이텍,N25101.자동차 부품,(62384) 광주시 광산구 소촌로123번길 40-11,코스피,49501917180
A0028X0,KODEX 미국금융테크액티브,,,코스피,26509500000
A002900,TYM,N20106.기계,(04393) 서울시 용산구 장문로 52,코스피,286073570600
A002920,유성기업,N25101.자동차 부품,(31409) 충남 아산시 둔포면 아산밸리동로 22,코스피,52024737500
A002960,한국쉘석유,"N10102.석유, 가스, 소모 연료",(48561) 부산시 남구 신선로 250,코스피,590850000000
A002990,금호건설,N20103.건설 및 엔지니어링,(58263) 전남 나주시 시청길 4,코스피,135963093000
A003000,부광약품,N35202.제약,(06955) 서울시 동작구 상도로 7,코스피,384792216900
A003010,혜인,N20107.무역회사와 판매업체,(06783) 서울시 서초구 동산로 86,코스피,65216392110
A003030,세아제강지주,N40201.다각화된 금융 서비스,(04036) 서울시 마포구 양화로 45,코스피,595570276600
A003060,에이프로젠바이오로직스,N35202.제약,"(05631) 서울시 송파구 백제고분로 480, 4층 (방이동,풍문빌딩)",코스피,118846299155
A003070,코오롱글로벌,N20103.건설 및 엔지니어링,(13837) 경기 과천시 코오롱로 11,코스피,169069127090
A003080,SB성보,N15101.화학,(15609) 경기 안산시 단원구 산단로19번길 168,코스피,57257200000
A003090,대웅,N35202.제약,(13211) 경기 성남시 중원구 갈마치로 244,코스피,1441921104000
A0030R0,대신밸류리츠,,"(04538) 서울시 중구 삼일대로 343 (저동1가,대신파이낸스센터)",코스피,268113300000
A003100,선광,N20305.운송인프라,(22335) 인천시 중구 축항대로211번길 37,코스닥,123882000000
A003120,일성아이에스,N35202.제약,(04315) 서울시 용산구 원효로84길 9,코스피,300580000000
A003160,디아이,N45301.반도체 및 반도체장비,(06046) 서울시 강남구 논현로 703,코스피,690520000000
A003200,일신방직,"N25203.섬유, 의류, 사치품",(07237) 서울시 영등포구 은행로 11,코스피,273224000000
A003220,대원제약,N35202.제약,(04808) 서울시 성동구 천호대로 386,코스피,301650991350
A003230,삼양식품,N30202.식품,(02737) 서울시 성북구 오패산로3길 104,코스피,9943579800000
A003240,태광산업,N15101.화학,(04616) 서울시 중구 동호로 310,코스피,907421000000
A003280,흥아해운,N20303.해운회사,"(04520) 서울시 중구 청계천로 8, 5층 (무교동,프리미어플레이스빌딩)",코스피,398624482542
A003300,한일홀딩스,N15102.건축자재,(06654) 서울시 서초구 효령로 275,코스피,512750860920
A003310,대주산업,N30202.식품,"(04919) 서울시 광진구 천호대로 549, 20층",코스닥,53548625550
A003350,한국화장품제조,N30302.개인용품,(03188) 서울시 종로구 청계천로 35,코스피,240196000000
A003380,하림지주,N40000.금융,(54596) 전북 익산시 중앙로 121,코스닥,910605698730
A003460,유화증권,N40203.캐피탈 시장,(07325) 서울시 영등포구 국제금융로2길 36,코스피,157065689550
A003470,유안타증권,N40203.캐피탈 시장,"(07339) 서울시 영등포구 국제금융로 39 (여의도동,앵커원)",코스피,769444800480
A003480,한진중공업홀딩스,"N10102.석유, 가스, 소모 연료","(12092) 경기 남양주시 별내3로 391, 1층",코스피,141152501360
A003490,대한항공,N20302.항공사,(07505) 서울시 강서구 하늘길 260,코스피,8064032475900
A003520,영진약품,N35202.제약,(05510) 서울시 송파구 올림픽로35다길 13,코스피,376759025860
A003530,한화투자증권,N40203.캐피탈 시장,(07325) 서울시 영등포구 여의대로 56,코스피,1109211996750
A003540,대신증권,N40203.캐피탈 시장,(04538) 서울시 중구 삼일대로 343,코스피,1467351260000
A003550,LG,N40201.다각화된 금융 서비스,(07336) 서울시 영등포구 여의대로 128,코스피,12784969396500
A003560,IHQ,"N25203.섬유, 의류, 사치품",(07523) 서울시 강서구 강서로 501-8,코스피,76220934800
A003570,SNT다이내믹스,N25101.자동차 부품,(51534) 경남 창원시 성산구 남면로 599,코스피,1549575680200
A003580,HLB글로벌,N15104.금속과 채광,"(26150) 강원 정선군 사북읍 소금강로 3583-1, 1층 101호 아이 (사북리,하이시티)",코스피,114470214950
A0035T0,PLUS 글로벌휴머노이드로봇액티브,,,코스피,37325750000
A003610,방림,"N25203.섬유, 의류, 사치품","(03925) 서울시 마포구 월드컵북로 402, 18층 (상암동,케이지아이티센터)",코스피,201814833160
A003620,KG모빌리티,N25102.자동차,(17749) 경기 평택시 동삭로 455-12,코스피,688074700800
A003650,미창석유,"N10102.석유, 가스, 소모 연료",(49013) 부산시 영도구 해양로 241,코스피,193451526400
A003670,포스코퓨처엠,N15104.금속과 채광,(37918) 경북 포항시 남구 신항로 110,코스피,18634233090000
A003680,한성기업,N30202.식품,(49037) 부산시 영도구 태종로 63,코스피,31420145900
A003690,코리안리,N40301.보험,"(04542) 서울시 중구 청계천로 100, 4층, 5층 (수표동,시그니쳐타워)",코스피,2244338277120
A0036D0,TIMEFOLIO 미국배당다우존스액티브,,,코스피,19988000000
A0036R0,RISE 미국휴머노이드로봇,,,코스피,80850000000
A0036Z0,RISE 미국천연가스밸류체인,,,코스피,10790000000
A003720,삼영,N15101.화학,"(03188) 서울시 종로구 청계천로 35, 13층",코스피,206040000000
A003780,진양산업,N15101.화학,(50592) 경남 양산시 유산공단7길 42,코스피,89700000000
A0037T0,KB제32호스팩,N40200.다각화된 금융,(07328) 서울시 영등포구 여의나루로 50,코스닥,12628350000
A003800,에이스침대,N25201.가정용 내구재,(13201) 경기 성남시 중원구 사기막골로105번길 42,코스닥,327709500000
A003830,대한화섬,N15101.화학,(04616) 서울시 중구 동호로 310,코스피,155508800000
A003850,보령,N35202.제약,(03127) 서울시 종로구 창경궁로 136,코스피,750638061250
A0038A0,KODEX 미국휴머노이드로봇,,,코스피,229200000000
A003920,남양유업,N30202.식품,"(06048) 서울시 강남구 도산대로 240, (1964빌딩)",코스피,312600000000
A003960,사조대림,N30202.식품,(06699) 서울시 서초구 남부순환로 2159,코스피,343667512500
A004000,롯데정밀화학,N15101.화학,(44714) 울산시 남구 여천로217번길 19,코스피,1207440000000
A004020,현대제철,N15104.금속과 채광,(22525) 인천시 동구 중봉대로 63,코스피,4290281987750
A004060,SG세계물산,"N25203.섬유, 의류, 사치품","(08511) 서울시 금천구 벚꽃로 278, 6층",코스피,62144462720
A004080,신흥,N35101.헬스케어 장비와 용품,(04510) 서울시 중구 청파로 450,코스피,129010000000
A004090,한국석유,N15102.건축자재,(04427) 서울시 용산구 이촌로 166,코스피,179240974400
A0040S0,HANARO 글로벌피지컬AI액티브,,,코스피,23197500000
A0040X0,SOL 팔란티어미국채커버드콜혼합,,,코스피,79900000000
A0040Y0,SOL 팔란티어커버드콜OTM채권혼합,,,코스피,212184000000
A004100,태양금속,N25101.자동차 부품,(15428) 경기 안산시 단원구 해봉로 212,코스피,80740000000
A004140,동방,N20305.운송인프라,"(04511) 서울시 중구 통일로2길 16, 3층 (순화동,에이아이에이타워)",코스피,133361509480
A004150,한솔홀딩스,N40000.금융,(04551) 서울시 중구 을지로 100,코스피,133746781200
A004170,신세계,N25503.복합소매,(04530) 서울시 중구 소공로 63,코스피,2078536505500
A0041B0,교보18호스팩,N40200.다각화된 금융,(07327) 서울시 영등포구 의사당대로 97,코스닥,10357200000
A0041D0,KODEX 미국AI소프트웨어TOP10,,,코스피,74868750000
A0041E0,KODEX 미국S&P500액티브,,,코스피,31832000000
A0041J0,엘에스스팩1호,N40200.다각화된 금융,"(07328) 서울시 영등포구 여의나루로 60 (여의도동,포스트타워)",코스닥,8211780000
